"ep_number","ep_title","restaurant","location","ep_air_date","yelp_string","index","freq_visited"
3,"A Little Bit of Everywhere","Bar Gernika","Boise, Idaho",2009-04-20,"Bar Gernika Boise Idaho yelp",209,2
3,"A Little Bit of Everywhere","Café Rolle","Sacramento, California",2009-04-20,"Café Rolle Sacramento California yelp",210,1
3,"A Little Bit of Everywhere","Havana Hideout","Lake Worth, Florida",2009-04-20,"Havana Hideout Lake Worth Florida yelp",211,1
4,"A Burger, A Bowl and a Slice","La Piazza Al Forno","Glendale, Arizona",2009-04-27,"La Piazza Al Forno Glendale Arizona yelp",212,1
4,"A Burger, A Bowl and a Slice","Slim’s Last Chance Chili Shack & Watering Hole","Seattle, Washington",2009-04-27,"Slim’s Last Chance Chili Shack & Watering Hole Seattle Washington yelp",213,1
4,"A Burger, A Bowl and a Slice","Twisted Root Beer Co.","Dallas, Texas",2009-04-27,"Twisted Root Beer Co. Dallas Texas yelp",214,1
5,"Biscuits, Bagels and BLTs","Arleta Library, Bakery & Café","Portland, Oregon",2009-05-04,"Arleta Library, Bakery & Café Portland Oregon yelp",215,1
5,"Biscuits, Bagels and BLTs","Bubba’s Diner","San Anselmo, California",2009-05-04,"Bubba’s Diner San Anselmo California yelp",216,1
5,"Biscuits, Bagels and BLTs","Flakowitz of Boynton Bakery & Deli Restaurant","Boynton Beach, Florida",2009-05-04,"Flakowitz of Boynton Bakery & Deli Restaurant Boynton Beach Florida yelp",217,1
6,"Who’Da Thunk It","Backroad Pizza","Santa Fe, New Mexico",2009-05-11,"Backroad Pizza Santa Fe New Mexico yelp",218,1
6,"Who’Da Thunk It","Jamaica Gates Caribbean Cuisine","Arlington, Texas",2009-05-11,"Jamaica Gates Caribbean Cuisine Arlington Texas yelp",219,1
6,"Who’Da Thunk It","Chef Lou’s Westside Drive-In","Boise, Idaho",2009-05-11,"Chef Lou’s Westside Drive-In Boise Idaho yelp",220,1
7,"Go-To Joints","Black Duck Café","Westport, Connecticut",2009-05-25,"Black Duck Café Westport Connecticut yelp",221,1
7,"Go-To Joints","Otto’s Sausage Kitchen & Meat Market","Portland, Oregon",2009-05-25,"Otto’s Sausage Kitchen & Meat Market Portland Oregon yelp",222,1
7,"Go-To Joints","Sol Food Puerto Rican Cuisine","San Rafael, California",2009-05-25,"Sol Food Puerto Rican Cuisine San Rafael California yelp",223,1
8,"Homestyle","Giuseppe’s Restaurant","Phoenix, Arizona",2009-06-01,"Giuseppe’s Restaurant Phoenix Arizona yelp",224,1
8,"Homestyle","Southern Kitchen Restaurant","Tacoma, Washington",2009-06-01,"Southern Kitchen Restaurant Tacoma Washington yelp",225,1
8,"Homestyle","Zia Diner & Angel Food Catering","Santa Fe, New Mexico",2009-06-01,"Zia Diner & Angel Food Catering Santa Fe New Mexico yelp",226,1
9,"All Kinds of Classics","Blue Marlin Fish House Restaurant","North Miami Beach, Florida",2009-06-08,"Blue Marlin Fish House Restaurant North Miami Beach Florida yelp",227,1
9,"All Kinds of Classics","Fred’s Texas Café","Fort Worth, Texas",2009-06-08,"Fred’s Texas Café Fort Worth Texas yelp",228,1
9,"All Kinds of Classics","Pine State Biscuits","Portland, Oregon",2009-06-08,"Pine State Biscuits Portland Oregon yelp",229,2
10,"All Over The Map","Georgia Greek Restaurant & Deli","Seattle, Washington",2009-06-15,"Georgia Greek Restaurant & Deli Seattle Washington yelp",230,1
10,"All Over The Map","Los Tacquitos Grill","Phoenix, Arizona",2009-06-15,"Los Tacquitos Grill Phoenix Arizona yelp",231,1
10,"All Over The Map","Rocco’s Café","San Francisco, California",2009-06-15,"Rocco’s Café San Francisco California yelp",232,1
11,"Old Time Favorites","Blueplate Lunch Counter & Soda Fountain","Portland, Oregon",2009-06-22,"Blueplate Lunch Counter & Soda Fountain Portland Oregon yelp",233,1
11,"Old Time Favorites","Don’s Hilltop Kodiak Grill","Boise, Idaho",2009-06-22,"Don’s Hilltop Kodiak Grill Boise Idaho yelp",234,1
11,"Old Time Favorites","La Camoronera Restaurant & Fish Market","Miami, Florida",2009-06-22,"La Camoronera Restaurant & Fish Market Miami Florida yelp",235,1
12,"Comfort Cookin’","Dottie’s True Blue Café","San Francisco, California",2009-06-29,"Dottie’s True Blue Café San Francisco California yelp",236,1
12,"Comfort Cookin’","Over Easy","Phoenix, Arizona",2009-06-29,"Over Easy Phoenix Arizona yelp",237,1
12,"Comfort Cookin’","Comet Café","Milwaukee, Wisconsin",2009-06-29,"Comet Café Milwaukee Wisconsin yelp",238,1
13,"Mama’s Cookin’","Polka Restaurant & Catering","Los Angeles, California",2009-07-27,"Polka Restaurant & Catering Los Angeles California yelp",239,1
13,"Mama’s Cookin’","Avila’s Café","Dallas, Texas",2009-07-27,"Avila’s Café Dallas Texas yelp",240,1
13,"Mama’s Cookin’","Mama E's","Oklahoma City",2009-07-27,"Mama E's Oklahoma City yelp",241,1
1,"Upper Crust","Bunk Sandwiches","Portland, Oregon",2009-08-03,"Bunk Sandwiches Portland Oregon yelp",242,1
1,"Upper Crust","Sonny’s Famous Steak Hogies","Hollywood, Florida",2009-08-03,"Sonny’s Famous Steak Hogies Hollywood Florida yelp",243,1
1,"Upper Crust","The Depot American Diner","Chicago, Illinois",2009-08-03,"The Depot American Diner Chicago Illinois yelp",244,1
2,"Burgers, Tacos & Dogs","Lankford Grocery","Houston, Texas",2009-08-10,"Lankford Grocery Houston Texas yelp",245,1
2,"Burgers, Tacos & Dogs","Fab Hot Dogs","Reseda, California",2009-08-10,"Fab Hot Dogs Reseda California yelp",246,1
2,"Burgers, Tacos & Dogs","Cempazuchi","Milwaukee, Wisconsin",2009-08-10,"Cempazuchi Milwaukee Wisconsin yelp",247,1
3,"Name That Cook","Rick’s Press Room & Grill","Meridian, Idaho",2009-08-17,"Rick’s Press Room & Grill Meridian Idaho yelp",248,1
3,"Name That Cook","Nic’s Grill","Oklahoma City, Oklahoma",2009-08-17,"Nic’s Grill Oklahoma City Oklahoma yelp",249,1
3,"Name That Cook","Pam’s Kitchen","Seattle, Washington",2009-08-17,"Pam’s Kitchen Seattle Washington yelp",250,1
4,"Global Grub","Prince Lebanese Grill","Arlington, Texas",2009-08-24,"Prince Lebanese Grill Arlington Texas yelp",251,1
4,"Global Grub","Tre Kronor","Chicago, Illinois",2009-08-24,"Tre Kronor Chicago Illinois yelp",252,1
4,"Global Grub","La Texanita","Santa Rosa, California",2009-08-24,"La Texanita Santa Rosa California yelp",253,1
5,"Only At This Joint","Podnah’s Pit Barbeque","Portland, Oregon",2009-08-31,"Podnah’s Pit Barbeque Portland Oregon yelp",254,1
5,"Only At This Joint","Donnie Mac’s Trailer Park Cuisine","Boise, Idaho",2009-08-31,"Donnie Mac’s Trailer Park Cuisine Boise Idaho yelp",255,1
5,"Only At This Joint","Whale’s Rib","Deerfield Beach, Florida",2009-08-31,"Whale’s Rib Deerfield Beach Florida yelp",256,1
6,"You Picked ‘Em","Eischen’s Bar & Grill","Okarche, Oklahoma",2009-09-07,"Eischen’s Bar & Grill Okarche Oklahoma yelp",257,1
6,"You Picked ‘Em","Mom’s Tamales","Los Angeles, California",2009-09-07,"Mom’s Tamales Los Angeles California yelp",258,1
6,"You Picked ‘Em","Kenny & Ziggy’s","Houston, Texas",2009-09-07,"Kenny & Ziggy’s Houston Texas yelp",259,1
7,"You Can Say That Again","Tap Tap Haitian Restaurant","Miami Beach, Florida",2009-10-05,"Tap Tap Haitian Restaurant Miami Beach Florida yelp",260,1
7,"You Can Say That Again","Pok Pok","Portland, Oregon",2009-10-05,"Pok Pok Portland Oregon yelp",261,1
7,"You Can Say That Again","Niko Niko’s","Houston, Texas",2009-10-05,"Niko Niko’s Houston Texas yelp",262,1
8,"Barbequed, Baked & Brined","Honky Tonk BBQ","Chicago, Illinois",2009-10-12,"Honky Tonk BBQ Chicago Illinois yelp",263,1
8,"Barbequed, Baked & Brined","Pizzalchik","Boise, Idaho",2009-10-12,"Pizzalchik Boise Idaho yelp",264,1
8,"Barbequed, Baked & Brined","Lucky’s Café","Cleveland, Ohio",2009-10-12,"Lucky’s Café Cleveland Ohio yelp",265,1
9,"Blast from the Past","Cattlemen's Steakhouse","Oklahoma City, Oklahoma",2009-10-19,"Cattlemen's Steakhouse Oklahoma City Oklahoma yelp",266,1
9,"Blast from the Past","Sam LaGrassa's","Boston, Massachusetts",2009-10-19,"Sam LaGrassa's Boston Massachusetts yelp",267,1
9,"Blast from the Past","Nickel Diner","Los Angeles, California",2009-10-19,"Nickel Diner Los Angeles California yelp",268,1
10,"Dives Worth a Drive","Parkview Nightclub","Cleveland, Ohio",2009-10-26,"Parkview Nightclub Cleveland Ohio yelp",269,1
10,"Dives Worth a Drive","The Shanty","Wadsworth, Illinois",2009-10-26,"The Shanty Wadsworth Illinois yelp",270,1
10,"Dives Worth a Drive","Grover’s Bar & Grill","East Amherst, New York",2009-10-26,"Grover’s Bar & Grill East Amherst New York yelp",271,1
11,"Family Style","Louis Family Restaurant","Providence, Rhode Island",2009-11-02,"Louis Family Restaurant Providence Rhode Island yelp",272,1
11,"Family Style","Café Pita+","Houston, Texas",2009-11-02,"Café Pita+ Houston Texas yelp",273,1
11,"Family Style","Mambos Café","Glendale, California",2009-11-02,"Mambos Café Glendale California yelp",274,1
12,"Diners Times Three","The Little Depot Diner","Peabody, Massachusetts",2009-11-09,"The Little Depot Diner Peabody Massachusetts yelp",275,1
12,"Diners Times Three","Santa Cruz Diner","Santa Cruz, California",2009-11-09,"Santa Cruz Diner Santa Cruz California yelp",276,2
12,"Diners Times Three","The Diner","Norman, Oklahoma",2009-11-09,"The Diner Norman Oklahoma yelp",277,1
13,"Legacies","Lake Effect Diner","Buffalo, New York",2009-11-16,"Lake Effect Diner Buffalo New York yelp",278,2
13,"Legacies","Geraci’s Restaurant","Cleveland, Ohio",2009-11-16,"Geraci’s Restaurant Cleveland Ohio yelp",279,1
13,"Legacies","Morin’s Hometown Bar & Grill","Attleboro, Massachusetts",2009-11-16,"Morin’s Hometown Bar & Grill Attleboro Massachusetts yelp",280,1
1,"Burgers, Steaks & Chops","Mr. Bartley’s Gourmet Burgers","Cambridge, Massachusetts",2009-11-23,"Mr. Bartley’s Gourmet Burgers Cambridge Massachusetts yelp",281,1
1,"Burgers, Steaks & Chops","T-Bone Tom’s Steakhouse","Kemah, Texas",2009-11-23,"T-Bone Tom’s Steakhouse Kemah Texas yelp",282,1
1,"Burgers, Steaks & Chops","Tee Off Bar & Grill","San Francisco, California",2009-11-23,"Tee Off Bar & Grill San Francisco California yelp",283,1
2,"Pizza, Pork & Paprikash","Pizza Junction","North Tonawanda, New York",2010-01-11,"Pizza Junction North Tonawanda New York yelp",284,1
2,"Pizza, Pork & Paprikash","Sterle’s Slovenian Country House","Cleveland, Ohio",2010-01-11,"Sterle’s Slovenian Country House Cleveland Ohio yelp",285,1
2,"Pizza, Pork & Paprikash","Q Restaurant","San Francisco, California",2010-01-11,"Q Restaurant San Francisco California yelp",286,1
3,"Stacked, Stuffed & Loaded","Bob’s Taco Station","Rosenberg, Texas",2010-01-18,"Bob’s Taco Station Rosenberg Texas yelp",287,1
3,"Stacked, Stuffed & Loaded","Crazy Burger Café & Juice Bar","Narragansett, Rhode Island",2010-01-18,"Crazy Burger Café & Juice Bar Narragansett Rhode Island yelp",288,1
3,"Stacked, Stuffed & Loaded","The Oinkster","Eagle Rock, California",2010-01-18,"The Oinkster Eagle Rock California yelp",289,2
4,"Triple D Goes Tailgatin’","Rudy’s Can’t Fail Cafe","Emeryville, California",2010-01-25,"Rudy’s Can’t Fail Cafe Emeryville California yelp",290,1
4,"Triple D Goes Tailgatin’","900 Grayson Restaurant","Berkeley, California",2010-01-25,"900 Grayson Restaurant Berkeley California yelp",291,1
4,"Triple D Goes Tailgatin’","Rick & Ann’s Restaurant","Berkeley, California",2010-01-25,"Rick & Ann’s Restaurant Berkeley California yelp",292,1
5,"Home And Away","Taste of Peru","Chicago, Illinois",2010-02-01,"Taste of Peru Chicago Illinois yelp",293,1
5,"Home And Away","Ingrid’s Kitchen","Oklahoma City, Oklahoma",2010-02-01,"Ingrid’s Kitchen Oklahoma City Oklahoma yelp",294,1
5,"Home And Away","Blackthorn Restaurant & Pub","Buffalo, New York",2010-02-01,"Blackthorn Restaurant & Pub Buffalo New York yelp",295,1
6,"By Request","South 21 Drive-In","Charlotte, North Carolina",2010-02-08,"South 21 Drive-In Charlotte North Carolina yelp",296,1
6,"By Request","Red Lion Pub & Restaurant","Houston, Texas",2010-02-08,"Red Lion Pub & Restaurant Houston Texas yelp",297,1
6,"By Request","Melt Bar & Grilled","Lakewood, Ohio",2010-02-08,"Melt Bar & Grilled Lakewood Ohio yelp",298,1
7,"And The Kicker Is...","Pawley’s Front Porch","Columbia, South Carolina",2010-02-15,"Pawley’s Front Porch Columbia South Carolina yelp",299,1
7,"And The Kicker Is...","Sophia Restaurant","Buffalo, New York",2010-02-15,"Sophia Restaurant Buffalo New York yelp",300,1
7,"And The Kicker Is...","Bette’s Oceanview Diner","Berkeley, California",2010-02-15,"Bette’s Oceanview Diner Berkeley California yelp",301,1
8,"Comfort Food Classics","The Liberty Elm Diner","Providence, Rhode Island",2010-02-22,"The Liberty Elm Diner Providence Rhode Island yelp",302,1
8,"Comfort Food Classics","Naglee Park Garage","San Jose, California",2010-02-22,"Naglee Park Garage San Jose California yelp",303,1
8,"Comfort Food Classics","Dish","Charlotte, North Carolina",2010-02-22,"Dish Charlotte North Carolina yelp",304,1
9,"Twists And Traditions","Earl’s Drive-In","Chaffee, New York",2010-03-22,"Earl’s Drive-In Chaffee New York yelp",305,1
9,"Twists And Traditions","Aldo’s Harbor Restaurant","Santa Cruz, California",2010-03-22,"Aldo’s Harbor Restaurant Santa Cruz California yelp",306,1
9,"Twists And Traditions","Momocho","Cleveland, Ohio",2010-03-22,"Momocho Cleveland Ohio yelp",307,1
10,"Fresh And Funky","Dish Café & Catering","Reno, Nevada",2010-03-29,"Dish Café & Catering Reno Nevada yelp",308,1
10,"Fresh And Funky","Landmark Restaurant","Charlotte, North Carolina",2010-03-29,"Landmark Restaurant Charlotte North Carolina yelp",309,1
10,"Fresh And Funky","Pier 23 Café","San Francisco, California",2010-03-29,"Pier 23 Café San Francisco California yelp",310,1
11,"Triple D Goes Hawaiian","Highway Inn & Ho’okipa Catering","Waipahu, Hawaii",2010-04-05,"Highway Inn & Ho’okipa Catering Waipahu Hawaii yelp",311,1
11,"Triple D Goes Hawaiian","Hank’s Haute Dogs","Honolulu, Hawaii",2010-04-05,"Hank’s Haute Dogs Honolulu Hawaii yelp",312,1
11,"Triple D Goes Hawaiian","Nico’s Pier 38","Honolulu, Hawaii",2010-04-05,"Nico’s Pier 38 Honolulu Hawaii yelp",313,1
11,"Triple D Goes Hawaiian","Germaine’s Luau","Kapolei, Hawaii",2010-04-05,"Germaine’s Luau Kapolei Hawaii yelp",314,1
1,"Surf ‘n Turf","North End Café","Manhattan Beach, California",2010-04-27,"North End Café Manhattan Beach California yelp",315,1
1,"Surf ‘n Turf","Gold ‘N Silver Inn","Reno, Nevada",2010-04-27,"Gold ‘N Silver Inn Reno Nevada yelp",316,1
1,"Surf ‘n Turf","Singleton’s Seafood Shack","Atlantic Beach, Florida",2010-04-27,"Singleton’s Seafood Shack Atlantic Beach Florida yelp",317,1
2,"Homegrown & Homemade","The Farmer’s Shed","Lexington, South Carolina",2010-05-03,"The Farmer’s Shed Lexington South Carolina yelp",318,1
2,"Homegrown & Homemade","Poke Stop at Mililana Mauka Llc.","Mililani, Hawaii",2010-05-03,"Poke Stop at Mililana Mauka Llc. Mililani Hawaii yelp",319,1
2,"Homegrown & Homemade","Mulberry Café","Lackawanna, New York",2010-05-03,"Mulberry Café Lackawanna New York yelp",320,1
3,"Globetrottin’","Louis’ Basque Corner","Reno, Nevada",2010-05-10,"Louis’ Basque Corner Reno Nevada yelp",321,1
3,"Globetrottin’","13 Gypsies","Jacksonville, Florida",2010-05-10,"13 Gypsies Jacksonville Florida yelp",322,1
3,"Globetrottin’","Gloria’s Café","Los Angeles, California",2010-05-10,"Gloria’s Café Los Angeles California yelp",323,1
4,"Bringin’ It Home","Café Citti","Kenwood, California",2010-05-17,"Café Citti Kenwood California yelp",324,1
4,"Bringin’ It Home","Cabo Fish Taco","Charlotte, North Carolina",2010-05-17,"Cabo Fish Taco Charlotte North Carolina yelp",325,1
4,"Bringin’ It Home","Murphy’s Bar & Grill","Honolulu, Hawaii",2010-05-17,"Murphy’s Bar & Grill Honolulu Hawaii yelp",326,1
5,"Porkapalooza","At Last Café","Long Beach, California",2010-05-24,"At Last Café Long Beach California yelp",327,1
5,"Porkapalooza","Virgil’s Café","Bellevue, Kentucky",2010-05-24,"Virgil’s Café Bellevue Kentucky yelp",328,1
5,"Porkapalooza","Martin’s Bar-B-Que Joint","Nolensville, Tennessee",2010-05-24,"Martin’s Bar-B-Que Joint Nolensville Tennessee yelp",329,1
6,"Grilled, Smoked & Sauced","Terry’s Turf Club","Cincinnati, Ohio",2010-05-31,"Terry’s Turf Club Cincinnati Ohio yelp",330,2
6,"Grilled, Smoked & Sauced","Schellville Grille","Sonoma, California",2010-05-31,"Schellville Grille Sonoma California yelp",331,1
6,"Grilled, Smoked & Sauced","Jake’s Good Eats","Charlotte, North Carolina",2010-05-31,"Jake’s Good Eats Charlotte North Carolina yelp",332,1
7,"Comfort Food With Attitude","Jax At The Trax","Truckee, California",2010-06-07,"Jax At The Trax Truckee California yelp",333,1
7,"Comfort Food With Attitude","Culhane’s Irish Pub","Atlantic Beach, Florida",2010-06-07,"Culhane’s Irish Pub Atlantic Beach Florida yelp",334,1
7,"Comfort Food With Attitude","Blue Ash Chili Restaurant","Cincinnati, Ohio",2010-06-07,"Blue Ash Chili Restaurant Cincinnati Ohio yelp",335,1
8,"Fast Food Their Way","Don Chow Tacos","Los Angeles, California",2010-06-21,"Don Chow Tacos Los Angeles California yelp",336,2
8,"Fast Food Their Way","Rainbow Drive-In","Honolulu, Hawaii",2010-06-21,"Rainbow Drive-In Honolulu Hawaii yelp",337,2
8,"Fast Food Their Way","Northern Waters Smokehaus","Duluth, Minnesota",2010-06-21,"Northern Waters Smokehaus Duluth Minnesota yelp",338,1
9,"Farm To Table","Blackwater Grill","St. Simons Island, Georgia",2010-06-28,"Blackwater Grill St. Simons Island Georgia yelp",339,1
9,"Farm To Table","Comet Ping Pong","Washington D.C.",2010-06-28,"Comet Ping Pong Washington D.C. yelp",340,1
9,"Farm To Table","Wallace Station","Versailles, Kentucky",2010-06-28,"Wallace Station Versailles Kentucky yelp",341,1
10,"Kansas City Barbeque Tour","Smokin’ Guns BBQ","North Kansas City, Missouri",2010-07-12,"Smokin’ Guns BBQ North Kansas City Missouri yelp",342,1
10,"Kansas City Barbeque Tour","RJ’s Bob-Be-Que Shack","Mission, Kansas",2010-07-12,"RJ’s Bob-Be-Que Shack Mission Kansas yelp",343,1
10,"Kansas City Barbeque Tour","Johnny’s Bar-B-Q","Mission, Kansas",2010-07-12,"Johnny’s Bar-B-Q Mission Kansas yelp",344,1
10,"Kansas City Barbeque Tour","Woodyard Bar-B-Que","Kansas City, Kansas",2010-07-12,"Woodyard Bar-B-Que Kansas City Kansas yelp",345,1
11,"Burgers ‘n More","Swagger Fine Spirits & Food","Kansas City, Missouri",2010-07-19,"Swagger Fine Spirits & Food Kansas City Missouri yelp",346,1
11,"Burgers ‘n More","Burger Me!","Truckee, California",2010-07-19,"Burger Me! Truckee California yelp",347,1
11,"Burgers ‘n More","Athens Family Restaurant","Nashville, Tennessee",2010-07-19,"Athens Family Restaurant Nashville Tennessee yelp",348,1
12,"You Called It","Paul’s Coffee Shop","Fountain Valley, California",2010-07-26,"Paul’s Coffee Shop Fountain Valley California yelp",349,2
12,"You Called It","Rick’s White Light Diner","Frankfort, Kentucky",2010-07-26,"Rick’s White Light Diner Frankfort Kentucky yelp",350,2
12,"You Called It","Gordy’s Hi-Hat","Cloquet, Minnesota",2010-07-26,"Gordy’s Hi-Hat Cloquet Minnesota yelp",351,1
13,"Old Time Attitude","Arnold’s Country Kitchen","Nashville, Tennessee",2010-08-09,"Arnold’s Country Kitchen Nashville Tennessee yelp",352,1
13,"Old Time Attitude","Southern Soul Barbeque","St. Simons Island, Georgia",2010-08-09,"Southern Soul Barbeque St. Simons Island Georgia yelp",353,1
13,"Old Time Attitude","Maine Diner","Wells, Maine",2010-08-09,"Maine Diner Wells Maine yelp",354,1
1,"Family Joints","Kramarczuk’s","Minneapolis, Minnesota",2010-08-30,"Kramarczuk’s Minneapolis Minnesota yelp",355,1
1,"Family Joints","Happy Gillis Café & Hangout","Kansas City, Missouri",2010-08-30,"Happy Gillis Café & Hangout Kansas City Missouri yelp",356,1
1,"Family Joints","Hillbilly Hot Dogs","Lesage, West Virginia",2010-08-30,"Hillbilly Hot Dogs Lesage West Virginia yelp",357,2
2,"Tried and True","Mama Cozza’s","Anaheim, California",2010-09-09,"Mama Cozza’s Anaheim California yelp",358,1
2,"Tried and True","Tune In Restaurant","Washington D.C.",2010-09-09,"Tune In Restaurant Washington D.C. yelp",359,1
2,"Tried and True","Bob’s Clam Hut","Kittery, Maine",2010-09-09,"Bob’s Clam Hut Kittery Maine yelp",360,2
3,"Timeless","Greek Corner Restaurant","Cambridge, Massachusetts",2010-09-13,"Greek Corner Restaurant Cambridge Massachusetts yelp",361,1
3,"Timeless","Bro’s Cajun Cuisine","Nashville, Tennessee",2010-09-13,"Bro’s Cajun Cuisine Nashville Tennessee yelp",362,1
3,"Timeless","The General Store","Silver Spring, Maryland",2010-09-13,"The General Store Silver Spring Maryland yelp",363,1
4,"You Found ‘Em","Parkette Drive In","Lexington, Kentucky",2010-09-20,"Parkette Drive In Lexington Kentucky yelp",364,1
4,"You Found ‘Em","Metro Diner","Jacksonville, Florida",2010-09-20,"Metro Diner Jacksonville Florida yelp",365,1
4,"You Found ‘Em","Al’s Breakfast","Minneapolis, Minnesota",2010-09-20,"Al’s Breakfast Minneapolis Minnesota yelp",366,2
5,"Wings, Dogs and Claws","The Lobster Shanty","Salem, Massachusetts",2010-09-27,"The Lobster Shanty Salem Massachusetts yelp",367,1
5,"Wings, Dogs and Claws","The Brick","Kansas City, Missouri",2010-09-27,"The Brick Kansas City Missouri yelp",368,1
5,"Wings, Dogs and Claws","Oohh’s & Aahh’s Gourmet Deli","Washington D.C.",2010-09-27,"Oohh’s & Aahh’s Gourmet Deli Washington D.C. yelp",369,1
6,"Sauced and Spiced","J.J. McBrewster’s","Lexington, Kentucky",2010-10-04,"J.J. McBrewster’s Lexington Kentucky yelp",370,1
6,"Sauced and Spiced","At Sara’s Table Chester Creek Café","Duluth, Minnesota",2010-10-04,"At Sara’s Table Chester Creek Café Duluth Minnesota yelp",371,1
6,"Sauced and Spiced","Café Rakka","Hendersonville, Tennessee",2010-10-04,"Café Rakka Hendersonville Tennessee yelp",372,1
7,"Made to Order","Rino’s Place","East Boston, Massachusetts",2010-10-25,"Rino’s Place East Boston Massachusetts yelp",373,1
7,"Made to Order","The Blue Door Pub","St. Paul, Minnesota",2010-10-25,"The Blue Door Pub St. Paul Minnesota yelp",374,1
7,"Made to Order","Bay Way Diner","Linden, New Jersey",2010-10-25,"Bay Way Diner Linden New Jersey yelp",375,2
8,"Fresh, Filled and Fried","Chaps Coffee Co.","Spokane, Washington",2010-11-01,"Chaps Coffee Co. Spokane Washington yelp",376,1
8,"Fresh, Filled and Fried","Good Dog Bar & Restaurant","Philadelphia, Pennsylvania",2010-11-01,"Good Dog Bar & Restaurant Philadelphia Pennsylvania yelp",377,1
8,"Fresh, Filled and Fried","Porthole Restaurant","Portland, Maine",2010-11-01,"Porthole Restaurant Portland Maine yelp",378,1
9,"Gone Global","LaCaraquena","Falls Church, Virginia",2010-11-08,"LaCaraquena Falls Church Virginia yelp",379,1
9,"Gone Global","Savarino’s Cucina","Nashville, Tennessee",2010-11-08,"Savarino’s Cucina Nashville Tennessee yelp",380,1
9,"Gone Global","Brats Brothers","Sherman Oaks, California",2010-11-08,"Brats Brothers Sherman Oaks California yelp",381,1
10,"A Triple D Thanksgiving","George’s Place","Cape May, New Jersey",2010-11-15,"George’s Place Cape May New Jersey yelp",382,1
10,"A Triple D Thanksgiving","Becky’s Diner","Portland, Maine",2010-11-15,"Becky’s Diner Portland Maine yelp",383,1
10,"A Triple D Thanksgiving","Sammy’s Food Service & Deli","New Orleans, Louisiana",2010-11-15,"Sammy’s Food Service & Deli New Orleans Louisiana yelp",384,1
11,"Sweet ‘n Savory","Meal Ticket","Berkeley, California",2010-11-26,"Meal Ticket Berkeley California yelp",385,1
11,"Sweet ‘n Savory","Metro 29 Diner","Arlington, Virginia",2010-11-26,"Metro 29 Diner Arlington Virginia yelp",386,1
11,"Sweet ‘n Savory","Duluth Grill","Duluth, Minnesota",2010-11-26,"Duluth Grill Duluth Minnesota yelp",387,1
12,"Wings ‘n Things","10th Avenue Burrito","Belmar, New Jersey",2010-12-13,"10th Avenue Burrito Belmar New Jersey yelp",388,1
12,"Wings ‘n Things","Capone’s Pub","Coeur d’Alene, Idaho",2010-12-13,"Capone’s Pub Coeur d’Alene Idaho yelp",389,1
12,"Wings ‘n Things","Jamaicaway","Nashville, Tennessee",2010-12-13,"Jamaicaway Nashville Tennessee yelp",390,1
13,"Sandwiches Plus","Elk Public House","Spokane, Washington",2010-12-18,"Elk Public House Spokane Washington yelp",391,1
13,"Sandwiches Plus","Colossal Café","Minneapolis, Minnesota",2010-12-18,"Colossal Café Minneapolis Minnesota yelp",392,1
13,"Sandwiches Plus","Maui’s Dog House","Wildwood, New Jersey",2010-12-18,"Maui’s Dog House Wildwood New Jersey yelp",393,1
1,"From Pork to Tofu","Tortilla Café","Washington D.C.",2011-01-03,"Tortilla Café Washington D.C. yelp",394,1
1,"From Pork to Tofu","Memphis Taproom","Philadelphia, Pennsylvania",2011-01-03,"Memphis Taproom Philadelphia Pennsylvania yelp",395,1
1,"From Pork to Tofu","The Golden Bear","Sacramento, California",2011-01-03,"The Golden Bear Sacramento California yelp",396,1
2,"Po’ Boys, Pasta & Pork","Mahoney’s Po-Boy Shop","New Orleans, Louisiana",2011-01-10,"Mahoney’s Po-Boy Shop New Orleans Louisiana yelp",397,1
2,"Po’ Boys, Pasta & Pork","Hill’s Restaurant & Lounge","Spokane, Washington",2011-01-10,"Hill’s Restaurant & Lounge Spokane Washington yelp",398,1
2,"Po’ Boys, Pasta & Pork","Q Fanatic BBQ","Champlin, Minnesota",2011-01-10,"Q Fanatic BBQ Champlin Minnesota yelp",399,1
3,"Funky Finds","Sage General Store","Queens, New York",2011-01-17,"Sage General Store Queens New York yelp",400,1
3,"Funky Finds","Quahog’s Seafood Shack","Stone Harbor, New Jersey",2011-01-17,"Quahog’s Seafood Shack Stone Harbor New Jersey yelp",401,1
3,"Funky Finds","W.O.W. - Worth Our Weight","Santa Rosa, California",2011-01-17,"W.O.W. - Worth Our Weight Santa Rosa California yelp",402,1
4,"Quirky Classics","Louie & The Red Head Lady","Mandeville, Louisiana",2011-01-24,"Louie & The Red Head Lady Mandeville Louisiana yelp",403,1
4,"Quirky Classics","Honey’s Sit-N-Eat","Philadelphia, Pennsylvania",2011-01-24,"Honey’s Sit-N-Eat Philadelphia Pennsylvania yelp",404,1
4,"Quirky Classics","Picabu Neighborhood Bistro","Spokane, Washington",2011-01-24,"Picabu Neighborhood Bistro Spokane Washington yelp",405,1
5,"A Little Twisted","The Pit Stop","Merrick, New York",2011-01-31,"The Pit Stop Merrick New York yelp",406,1
5,"A Little Twisted","Gatsby’s Diner","Sacramento, California",2011-01-31,"Gatsby’s Diner Sacramento California yelp",407,1
5,"A Little Twisted","Anchor Bar","Superior, Wisconsin",2011-01-31,"Anchor Bar Superior Wisconsin yelp",408,1
