"ep_number","ep_title","restaurant","location","ep_air_date","yelp_string","index","freq_visited"
5,"Viewer's Choice","Bobby's Hawaiian Style Restaurant","Everett, Washington",2007-10-29,"Bobby's Hawaiian Style Restaurant Everett Washington yelp",50,1
5,"Viewer's Choice","Ted Peters Famous Smoked Fish","South Pasadena, Florida",2007-10-29,"Ted Peters Famous Smoked Fish South Pasadena Florida yelp",51,1
5,"Viewer's Choice","Psycho Suzie's Motor Lounge","Minneapolis, Minnesota",2007-10-29,"Psycho Suzie's Motor Lounge Minneapolis Minnesota yelp",52,1
6,"Real Deal BBQ","Jay Bee's Bar-B-Que","Gardena, California",2007-11-05,"Jay Bee's Bar-B-Que Gardena California yelp",53,1
6,"Real Deal BBQ","Smoque","Chicago, Illinois",2007-11-05,"Smoque Chicago Illinois yelp",54,1
6,"Real Deal BBQ","BBQ Shack","Paola, Kansas",2007-11-05,"BBQ Shack Paola Kansas yelp",55,2
7,"Talkin' Turkey","Mike's City Diner","Boston, Massachusetts",2007-11-10,"Mike's City Diner Boston Massachusetts yelp",56,2
7,"Talkin' Turkey","Willie Bird's Restaurant","Santa Rosa, California",2007-11-10,"Willie Bird's Restaurant Santa Rosa California yelp",57,1
7,"Talkin' Turkey","Alpine Steakhouse","Sarasota, Florida",2007-11-10,"Alpine Steakhouse Sarasota Florida yelp",58,2
8,"One of a Kind","JT Farnham's Seafood & Grill","Essex, Massachusetts",2007-11-19,"JT Farnham's Seafood & Grill Essex Massachusetts yelp",59,1
8,"One of a Kind","Joe's Gizzard City","Potterville, Michigan",2007-11-19,"Joe's Gizzard City Potterville Michigan yelp",60,1
8,"One of a Kind","Grubstake Diner","San Francisco, California",2007-11-19,"Grubstake Diner San Francisco California yelp",61,1
8,"One of a Kind","Los Tapatios","San Jose, California",2007-11-19,"Los Tapatios San Jose California yelp",62,1
9,"Family Owned","El Indio","San Diego, California",2007-11-23,"El Indio San Diego California yelp",63,1
9,"Family Owned","Charlie's Diner","Spencer, Massachusetts",2007-11-23,"Charlie's Diner Spencer Massachusetts yelp",64,1
9,"Family Owned","Paradise Pup","Des Plaines, Illinois",2007-11-23,"Paradise Pup Des Plaines Illinois yelp",65,1
10,"Open 24/7","Studio Diner","San Diego, California",2008-01-13,"Studio Diner San Diego California yelp",66,1
10,"Open 24/7","White Palace Grill","Chicago, Illinois",2008-01-13,"White Palace Grill Chicago Illinois yelp",67,1
10,"Open 24/7","The Dining Car","Philadelphia, Pennsylvania",2008-01-13,"The Dining Car Philadelphia Pennsylvania yelp",68,1
11,"Off the Hook Specials","Schooner or Later","Long Beach, California",2008-01-20,"Schooner or Later Long Beach California yelp",69,2
11,"Off the Hook Specials","Grinders Pizza","Kansas City, Missouri",2008-01-20,"Grinders Pizza Kansas City Missouri yelp",70,1
11,"Off the Hook Specials","The Fly Trap","Ferndale, Michigan",2008-01-20,"The Fly Trap Ferndale Michigan yelp",71,1
11,"Off the Hook Specials","Galewood Cook Shack","Chicago, Illinois",2008-01-20,"Galewood Cook Shack Chicago Illinois yelp",72,1
12,"Burgers, Rings and Fries","Joe's Cable Car","San Francisco, California",2008-01-21,"Joe's Cable Car San Francisco California yelp",73,1
12,"Burgers, Rings and Fries","The Nook","St. Paul, Minnesota",2008-01-21,"The Nook St. Paul Minnesota yelp",74,1
12,"Burgers, Rings and Fries","Krazy Jim's Blimpy Burger","Ann Arbor, Michigan",2008-01-21,"Krazy Jim's Blimpy Burger Ann Arbor Michigan yelp",75,1
13,"The New Jersey Diner Tour","Mustache Bill's","Barnegat Light, New Jersey",2008-01-28,"Mustache Bill's Barnegat Light New Jersey yelp",76,1
13,"The New Jersey Diner Tour","Tick Tock Diner","Clifton, New Jersey",2008-01-28,"Tick Tock Diner Clifton New Jersey yelp",77,1
13,"The New Jersey Diner Tour","White Manna Hamburgers","Hackensack, New Jersey",2008-01-28,"White Manna Hamburgers Hackensack New Jersey yelp",78,1
13,"The New Jersey Diner Tour","The Ritz Diner","Livingston, New Jersey",2008-01-28,"The Ritz Diner Livingston New Jersey yelp",79,1
13,"The New Jersey Diner Tour","Hightstown Diner","Hightstown, New Jersey",2008-01-28,"Hightstown Diner Hightstown New Jersey yelp",80,1
13,"The New Jersey Diner Tour","Skylark Diner","Edison, New Jersey",2008-01-28,"Skylark Diner Edison New Jersey yelp",81,1
13,"The New Jersey Diner Tour","Jefferson Diner","Lake Hopatcong, New Jersey",2008-01-28,"Jefferson Diner Lake Hopatcong New Jersey yelp",82,1
