"ep_number","ep_title","restaurant","location","ep_air_date","google_string","freq_visited","index","yelp_string"
1,"What’s For Breakfast","Harry's Roadhouse","Santa Fe, New Mexico",2008-11-10,"Harry's Roadhouse Santa Fe New Mexico yelp",1,165,"harrys-roadhouse-santa-fe"
1,"What’s For Breakfast","Dor-Stop Restaurant","Pittsburgh, Pennsylvania",2008-11-10,"Dor-Stop Restaurant Pittsburgh Pennsylvania yelp",1,166,"the-dor-stop-restaurant-pittsburgh"
2,"Real Deal Italian","LoBello's Spaghetti House","Coraopolis, Pennsylvania",2008-11-17,"LoBello's Spaghetti House Coraopolis Pennsylvania yelp",1,167,"lobellos-restaurant-coraopolis"
2,"Real Deal Italian","Di Pasquale's","Baltimore, Maryland",2008-11-17,"Di Pasquale's Baltimore Maryland yelp",1,168,"di-pasquales-italian-marketplace-baltimore"
2,"Real Deal Italian","Pizzeria Luigi","San Diego, California",2008-11-17,"Pizzeria Luigi San Diego California yelp",1,169,"pizzeria-luigi-san-diego"
3,"Not What You’d Expect","Sophia's Place","Albuquerque, New Mexico",2008-11-24,"Sophia's Place Albuquerque New Mexico yelp",1,170,"elis-place-albuquerque"
3,"Not What You’d Expect","Magnolia Cafe","Austin, Texas",2008-11-24,"Magnolia Cafe Austin Texas yelp",1,171,"magnolia-cafe-austin-2"
3,"Not What You’d Expect","Glenn's Diner","Chicago, Illinois",2008-11-24,"Glenn's Diner Chicago Illinois yelp",1,172,"glenns-diner-chicago"
4,"Places You Sent Me","Ruth's Diner","Salt Lake City, Utah",2008-12-01,"Ruth's Diner Salt Lake City Utah yelp",2,173,"ruths-diner-salt-lake-city"
4,"Places You Sent Me","O'Rourke's Diner","Middletown, Connecticut",2008-12-01,"O'Rourke's Diner Middletown Connecticut yelp",1,174,"o-rourkes-diner-middletown"
4,"Places You Sent Me","Parasol's","New Orleans, Louisiana",2008-12-01,"Parasol's New Orleans Louisiana yelp",1,175,"parasols-bar-and-restaurant-new-orleans"
5,"Long Time Legends","Tommy's Joynt","San Francisco, California",2009-01-05,"Tommy's Joynt San Francisco California yelp",2,176,"tommys-joynt-san-francisco"
5,"Long Time Legends","Joe Tess Place","Omaha, Nebraska",2009-01-05,"Joe Tess Place Omaha Nebraska yelp",1,177,"joe-tess-place-omaha"
5,"Long Time Legends","Big Jim's","Pittsburgh, Pennsylvania",2009-01-05,"Big Jim's Pittsburgh Pennsylvania yelp",1,178,"big-jims-restaurant-and-bar-pittsburgh"
6,"Something from Everywhere","Valencia Luncheria","Norwalk, Connecticut",2009-01-12,"Valencia Luncheria Norwalk Connecticut yelp",2,179,"valencia-luncheria-norwalk"
6,"Something from Everywhere","The Original Vito & Nick's Pizzeria","Chicago, Illinois",2009-01-12,"The Original Vito & Nick's Pizzeria Chicago Illinois yelp",1,180,"vito-and-nicks-pizzeria-chicago"
6,"Something from Everywhere","Emily's Lebanese Delicatessen","Minneapolis, Minnesota",2009-01-12,"Emily's Lebanese Delicatessen Minneapolis Minnesota yelp",1,181,"emilys-lebanese-delicatessen-minneapolis"
7,"Neighborhood Favorites","Pat's BBQ","Salt Lake City, Utah",2009-01-19,"Pat's BBQ Salt Lake City Utah yelp",1,182,"pats-bbq-salt-lake-city"
7,"Neighborhood Favorites","Blow Fly Inn","Gulfport, Mississippi",2009-01-19,"Blow Fly Inn Gulfport Mississippi yelp",1,183,"blow-fly-inn-gulfport-2"
7,"Neighborhood Favorites","Tune-Up Cafe","Santa Fe, New Mexico",2009-01-19,"Tune-Up Cafe Santa Fe New Mexico yelp",1,184,"tune-up-cafe-santa-fe"
8,"Just Like Yesterday","Hob Nob Hill","San Diego, California",2009-01-26,"Hob Nob Hill San Diego California yelp",1,185,"hob-nob-hill-san-diego"
8,"Just Like Yesterday","The Silver Skillet","Atlanta, Georgia",2009-01-26,"The Silver Skillet Atlanta Georgia yelp",1,186,"the-silver-skillet-atlanta"
8,"Just Like Yesterday","Tufano's Vernon Park Tap","Chicago, Illinois",2009-01-26,"Tufano's Vernon Park Tap Chicago Illinois yelp",1,187,"tufanos-vernon-park-tap-chicago"
9,"Return to Route 66","Standard Diner","Albuquerque, New Mexico",2009-02-02,"Standard Diner Albuquerque New Mexico yelp",1,188,"standard-diner-albuquerque"
9,"Return to Route 66","Dell Rhea's Chicken Basket","Willowbrook, Illinois",2009-02-02,"Dell Rhea's Chicken Basket Willowbrook Illinois yelp",1,189,"dell-rheas-chicken-basket-willowbrook"
9,"Return to Route 66","Salsa Brava","Flagstaff, Arizona",2009-02-02,"Salsa Brava Flagstaff Arizona yelp",1,190,"salsa-brava-flagstaff"
10,"Smokin' BBQ","Green Mesquite","Austin, Texas",2009-02-09,"Green Mesquite Austin Texas yelp",1,191,"green-mesquite-bbq-and-more-austin"
10,"Smokin' BBQ","Gorilla BBQ","Pacifica, California",2009-02-09,"Gorilla BBQ Pacifica California yelp",1,192,"gorilla-barbeque-pacifica"
10,"Smokin' BBQ","Wilson's Holy Smoke BBQ","Fairfield, Connecticut",2009-02-09,"Wilson's Holy Smoke BBQ Fairfield Connecticut yelp",1,193,"wilsons-barbeque-fairfield"
11,"Regional Classics","Cecilia's Cafe","Albuquerque, New Mexico",2009-02-16,"Cecilia's Cafe Albuquerque New Mexico yelp",1,194,"cecilias-cafe-albuquerque-3"
11,"Regional Classics","Joey K's Restaurant & Bar","New Orleans, Louisiana",2009-02-16,"Joey K's Restaurant & Bar New Orleans Louisiana yelp",1,195,"joey-ks-restaurant-and-bar-new-orleans"
11,"Regional Classics","Kelly O's Diner","Pittsburgh, Pennsylvania",2009-02-16,"Kelly O's Diner Pittsburgh Pennsylvania yelp",2,196,"kelly-os-diner-pittsburgh"
12,"All Kinds of Fast Food","Super Duper Weenie","Fairfield, Connecticut",2009-03-16,"Super Duper Weenie Fairfield Connecticut yelp",1,197,"super-duper-weenie-fairfield"
12,"All Kinds of Fast Food","California Tacos","Omaha, Nebraska",2009-03-16,"California Tacos Omaha Nebraska yelp",1,198,"california-tacos-and-more-omaha"
12,"All Kinds of Fast Food","Bert's Burger Bowl","Santa Fe, New Mexico",2009-03-16,"Bert's Burger Bowl Santa Fe New Mexico yelp",1,199,"berts-burger-bowl-santa-fe"
13,"Family Favorites","Giusti's","Walnut Grove, California",2009-03-23,"Giusti's Walnut Grove California yelp",1,200,"giustis-walnut-grove"
13,"Family Favorites","Haus Murphy's","Glendale, Arizona",2009-03-23,"Haus Murphy's Glendale Arizona yelp",2,201,"haus-murphys-glendale-2"
13,"Family Favorites","Louie's","Dallas, Texas",2009-03-23,"Louie's Dallas Texas yelp",1,202,"louies-dallas"
1,"Funky Joints","Bizzaro Cafe","Seattle, Washington",2009-04-06,"Bizzaro Cafe Seattle Washington yelp",1,203,"bizzarro-italian-caf%25C3%25A9-seattle-2"
1,"Funky Joints","Chef Point Cafe","Wautaga, Texas",2009-04-06,"Chef Point Cafe Wautaga Texas yelp",1,204,"chef-point-cafe-watauga"
1,"Funky Joints","Jamie's Bar & Grill","Sacramento, California",2009-04-06,"Jamie's Bar & Grill Sacramento California yelp",1,205,"jamies-broadway-grille-sacramento"
2,"Their Own Way","Bluewater Seafood Market & Grill","San Diego, California",2009-04-13,"Bluewater Seafood Market & Grill San Diego California yelp",1,206,"blue-water-seafood-market-and-grill-san-diego"
2,"Their Own Way","Brandy's Restaurant & Bakery","Flagstaff, Arizona",2009-04-13,"Brandy's Restaurant & Bakery Flagstaff Arizona yelp",1,207,"brandys-restaurant-and-bakery-flagstaff-2"
2,"Their Own Way","Kuma's Corner","Chicago, Illinois",2009-04-13,"Kuma's Corner Chicago Illinois yelp",1,208,"kumas-corner-chicago"
3,"A Little Bit of Everywhere","Bar Gernika","Boise, Idaho",2009-04-20,"Bar Gernika Boise Idaho yelp",2,209,"bar-gernika-boise"
3,"A Little Bit of Everywhere","Cafe Rolle","Sacramento, California",2009-04-20,"Cafe Rolle Sacramento California yelp",1,210,"cafe-rolle-sacramento-3"
3,"A Little Bit of Everywhere","Havana Hideout","Lake Worth, Florida",2009-04-20,"Havana Hideout Lake Worth Florida yelp",1,211,"havana-hideout-lake-worth"
4,"A Burger, A Bowl and a Slice","La Piazza Al Forno","Glendale, Arizona",2009-04-27,"La Piazza Al Forno Glendale Arizona yelp",1,212,"la-piazza-al-forno-glendale"
4,"A Burger, A Bowl and a Slice","Slim's Last Chance Chili Shack & Watering Hole","Seattle, Washington",2009-04-27,"Slim's Last Chance Chili Shack & Watering Hole Seattle Washington yelp",1,213,"slims-last-chance-seattle"
4,"A Burger, A Bowl and a Slice","Twisted Root Beer Co.","Dallas, Texas",2009-04-27,"Twisted Root Beer Co. Dallas Texas yelp",1,214,"twisted-root-burger-co-deep-ellum-dallas"
5,"Biscuits, Bagels and BLTs","Arleta Library, Bakery & Cafe","Portland, Oregon",2009-05-04,"Arleta Library, Bakery & Cafe Portland Oregon yelp",1,215,"arleta-library-bakery-cafe-portland"
5,"Biscuits, Bagels and BLTs","Bubba's Diner","San Anselmo, California",2009-05-04,"Bubba's Diner San Anselmo California yelp",1,216,"bubbas-diner-san-anselmo"
5,"Biscuits, Bagels and BLTs","Flakowitz of Boynton Bakery & Deli Restaurant","Boynton Beach, Florida",2009-05-04,"Flakowitz of Boynton Bakery & Deli Restaurant Boynton Beach Florida yelp",1,217,"flakowitz-of-boynton-boynton-beach"
6,"Who’Da Thunk It","Backroad Pizza","Santa Fe, New Mexico",2009-05-11,"Backroad Pizza Santa Fe New Mexico yelp",1,218,"back-road-pizza-santa-fe"
6,"Who’Da Thunk It","Jamaica Gates Caribbean Cuisine","Arlington, Texas",2009-05-11,"Jamaica Gates Caribbean Cuisine Arlington Texas yelp",1,219,"jamaica-gates-caribbean-cuisine-arlington"
6,"Who’Da Thunk It","Chef Lou's Westside Drive-In","Boise, Idaho",2009-05-11,"Chef Lou's Westside Drive-In Boise Idaho yelp",1,220,"westside-drive-in-boise-2"
7,"Go-To Joints","Black Duck Cafe","Westport, Connecticut",2009-05-25,"Black Duck Cafe Westport Connecticut yelp",1,221,"black-duck-cafe-westport"
7,"Go-To Joints","Otto's Sausage Kitchen & Meat Market","Portland, Oregon",2009-05-25,"Otto's Sausage Kitchen & Meat Market Portland Oregon yelp",1,222,"ottos-sausage-kitchen-and-meat-market-portland"
7,"Go-To Joints","Sol Food Puerto Rican Cuisine","San Rafael, California",2009-05-25,"Sol Food Puerto Rican Cuisine San Rafael California yelp",1,223,"sol-food-san-rafael-3"
8,"Homestyle","Giuseppe's Restaurant","Phoenix, Arizona",2009-06-01,"Giuseppe's Restaurant Phoenix Arizona yelp",1,224,"giuseppes-on-28th-phoenix"
8,"Homestyle","Southern Kitchen Restaurant","Tacoma, Washington",2009-06-01,"Southern Kitchen Restaurant Tacoma Washington yelp",1,225,"southern-kitchen-tacoma"
8,"Homestyle","Zia Diner & Angel Food Catering","Santa Fe, New Mexico",2009-06-01,"Zia Diner & Angel Food Catering Santa Fe New Mexico yelp",1,226,"zia-diner-santa-fe"
9,"All Kinds of Classics","Blue Marlin Fish House Restaurant","North Miami Beach, Florida",2009-06-08,"Blue Marlin Fish House Restaurant North Miami Beach Florida yelp",1,227,"blue-marlin-fish-house-restaurant-north-miami-beach"
9,"All Kinds of Classics","Fred's Texas Cafe","Fort Worth, Texas",2009-06-08,"Fred's Texas Cafe Fort Worth Texas yelp",1,228,"freds-texas-cafe-fort-worth-2"
9,"All Kinds of Classics","Pine State Biscuits","Portland, Oregon",2009-06-08,"Pine State Biscuits Portland Oregon yelp",2,229,"pine-state-biscuits-portland-2"
10,"All Over The Map","Georgia Greek Restaurant & Deli","Seattle, Washington",2009-06-15,"Georgia Greek Restaurant & Deli Seattle Washington yelp",1,230,"georgias-greek-restaurant-and-deli-seattle"
10,"All Over The Map","Los Tacquitos Grill","Phoenix, Arizona",2009-06-15,"Los Tacquitos Grill Phoenix Arizona yelp",1,231,"los-taquitos-phoenix-2"
10,"All Over The Map","Rocco's Cafe","San Francisco, California",2009-06-15,"Rocco's Cafe San Francisco California yelp",1,232,"roccos-caf%25C3%25A9-san-francisco-3"
11,"Old Time Favorites","Blueplate Lunch Counter & Soda Fountain","Portland, Oregon",2009-06-22,"Blueplate Lunch Counter & Soda Fountain Portland Oregon yelp",1,233,"blueplate-portland"
11,"Old Time Favorites","Don's Hilltop Kodiak Grill","Boise, Idaho",2009-06-22,"Don's Hilltop Kodiak Grill Boise Idaho yelp",1,234,"kodiak-grill-boise"
11,"Old Time Favorites","La Camoronera Restaurant & Fish Market","Miami, Florida",2009-06-22,"La Camoronera Restaurant & Fish Market Miami Florida yelp",1,235,"la-camaronera-seafood-joint-and-fish-market-miami-2"
12,"Comfort Cookin’","Dottie's True Blue Cafe","San Francisco, California",2009-06-29,"Dottie's True Blue Cafe San Francisco California yelp",1,236,"dotties-true-blue-cafe-san-francisco"
12,"Comfort Cookin’","Over Easy","Phoenix, Arizona",2009-06-29,"Over Easy Phoenix Arizona yelp",1,237,"over-easy-phoenix"
12,"Comfort Cookin’","Comet Cafe","Milwaukee, Wisconsin",2009-06-29,"Comet Cafe Milwaukee Wisconsin yelp",1,238,"comet-caf%25C3%25A9-milwaukee-2"
13,"Mama’s Cookin’","Polka Restaurant & Catering","Los Angeles, California",2009-07-27,"Polka Restaurant & Catering Los Angeles California yelp",1,239,"polka-polish-restaurant-los-angeles-2"
13,"Mama’s Cookin’","Avila's Cafe","Dallas, Texas",2009-07-27,"Avila's Cafe Dallas Texas yelp",1,240,"avilas-mexican-restaurant-dallas"
13,"Mama’s Cookin’","Mama E's","Oklahoma City",2009-07-27,"Mama E's Oklahoma City yelp",1,241,"mama-es-wings-and-waffles-oklahoma-city"
1,"Upper Crust","Bunk Sandwiches","Portland, Oregon",2009-08-03,"Bunk Sandwiches Portland Oregon yelp",1,242,"bunk-sandwiches-portland-5"
1,"Upper Crust","Sonny's Famous Steak Hogies","Hollywood, Florida",2009-08-03,"Sonny's Famous Steak Hogies Hollywood Florida yelp",1,243,"sonnys-famous-steak-hoagies-hollywood-2"
1,"Upper Crust","The Depot American Diner","Chicago, Illinois",2009-08-03,"The Depot American Diner Chicago Illinois yelp",1,244,"depot-diner-chicago-2"
2,"Burgers, Tacos & Dogs","Lankford Grocery","Houston, Texas",2009-08-10,"Lankford Grocery Houston Texas yelp",1,245,"lankford-grocery-houston"
2,"Burgers, Tacos & Dogs","Fab Hot Dogs","Reseda, California",2009-08-10,"Fab Hot Dogs Reseda California yelp",1,246,"fab-hot-dogs-reseda-4"
2,"Burgers, Tacos & Dogs","Cempazuchi","Milwaukee, Wisconsin",2009-08-10,"Cempazuchi Milwaukee Wisconsin yelp",1,247,"cempazuchi-milwaukee"
3,"Name That Cook","Rick's Press Room & Grill","Meridian, Idaho",2009-08-17,"Rick's Press Room & Grill Meridian Idaho yelp",1,248,"ricks-press-room-grill-and-bar-meridian"
3,"Name That Cook","Nic's Grill","Oklahoma City, Oklahoma",2009-08-17,"Nic's Grill Oklahoma City Oklahoma yelp",1,249,"nics-grill-oklahoma-city"
3,"Name That Cook","Pam's Kitchen","Seattle, Washington",2009-08-17,"Pam's Kitchen Seattle Washington yelp",1,250,"pams-kitchen-seattle-4"
4,"Global Grub","Prince Lebanese Grill","Arlington, Texas",2009-08-24,"Prince Lebanese Grill Arlington Texas yelp",1,251,"prince-lebanese-grill-arlington"
4,"Global Grub","Tre Kronor","Chicago, Illinois",2009-08-24,"Tre Kronor Chicago Illinois yelp",1,252,"tre-kronor-chicago"
4,"Global Grub","La Texanita","Santa Rosa, California",2009-08-24,"La Texanita Santa Rosa California yelp",1,253,"la-texanita-santa-rosa-2"
5,"Only At This Joint","Podnah's Pit Barbeque","Portland, Oregon",2009-08-31,"Podnah's Pit Barbeque Portland Oregon yelp",1,254,"podnahs-pit-barbeque-portland"
5,"Only At This Joint","Donnie Mac's Trailer Park Cuisine","Boise, Idaho",2009-08-31,"Donnie Mac's Trailer Park Cuisine Boise Idaho yelp",1,255,"donnie-macs-trailer-park-cuisine-boise"
5,"Only At This Joint","Whale's Rib","Deerfield Beach, Florida",2009-08-31,"Whale's Rib Deerfield Beach Florida yelp",1,256,"the-whales-rib-deerfield-beach"
6,"You Picked ‘Em","Eischen's Bar & Grill","Okarche, Oklahoma",2009-09-07,"Eischen's Bar & Grill Okarche Oklahoma yelp",1,257,"eischens-bar-okarche"
6,"You Picked ‘Em","Mom's Tamales","Los Angeles, California",2009-09-07,"Mom's Tamales Los Angeles California yelp",1,258,"moms-tamales-los-angeles"
6,"You Picked ‘Em","Kenny & Ziggy's","Houston, Texas",2009-09-07,"Kenny & Ziggy's Houston Texas yelp",1,259,"kenny-and-ziggys-new-york-delicatessen-houston"
7,"You Can Say That Again","Tap Tap Haitian Restaurant","Miami Beach, Florida",2009-10-05,"Tap Tap Haitian Restaurant Miami Beach Florida yelp",1,260,"tap-tap-restaurant-miami-beach-2"
7,"You Can Say That Again","Pok Pok","Portland, Oregon",2009-10-05,"Pok Pok Portland Oregon yelp",1,261,"pok-pok-portland"
7,"You Can Say That Again","Niko Niko's","Houston, Texas",2009-10-05,"Niko Niko's Houston Texas yelp",1,262,"niko-nikos-greek-and-american-cafe-houston"
8,"Barbequed, Baked & Brined","Honky Tonk BBQ","Chicago, Illinois",2009-10-12,"Honky Tonk BBQ Chicago Illinois yelp",1,263,"honky-tonk-bbq-chicago"
8,"Barbequed, Baked & Brined","Pizzalchik","Boise, Idaho",2009-10-12,"Pizzalchik Boise Idaho yelp",1,264,"pizzalchik-boise"
8,"Barbequed, Baked & Brined","Lucky's Cafe","Cleveland, Ohio",2009-10-12,"Lucky's Cafe Cleveland Ohio yelp",1,265,"luckys-caf%25C3%25A9-cleveland-2"
9,"Blast from the Past","Cattlemen's Steakhouse","Oklahoma City, Oklahoma",2009-10-19,"Cattlemen's Steakhouse Oklahoma City Oklahoma yelp",1,266,"cattlemens-steak-house-oklahoma-city"
9,"Blast from the Past","Sam LaGrassa's","Boston, Massachusetts",2009-10-19,"Sam LaGrassa's Boston Massachusetts yelp",1,267,"sam-lagrassas-boston-3"
9,"Blast from the Past","Nickel Diner","Los Angeles, California",2009-10-19,"Nickel Diner Los Angeles California yelp",1,268,"nickel-diner-los-angeles-2"
10,"Dives Worth a Drive","Parkview Nightclub","Cleveland, Ohio",2009-10-26,"Parkview Nightclub Cleveland Ohio yelp",1,269,"parkview-nite-club-cleveland"
10,"Dives Worth a Drive","The Shanty","Wadsworth, Illinois",2009-10-26,"The Shanty Wadsworth Illinois yelp",1,270,"the-shanty-wadsworth"
10,"Dives Worth a Drive","Grover's Bar & Grill","East Amherst, New York",2009-10-26,"Grover's Bar & Grill East Amherst New York yelp",1,271,"grovers-bar-and-grill-east-amherst"
11,"Family Style","Louis Family Restaurant","Providence, Rhode Island",2009-11-02,"Louis Family Restaurant Providence Rhode Island yelp",1,272,"louis-family-restaurant-providence"
11,"Family Style","Cafe Pita+","Houston, Texas",2009-11-02,"Cafe Pita+ Houston Texas yelp",1,273,"cafe-pita-houston"
11,"Family Style","Mambos Cafe","Glendale, California",2009-11-02,"Mambos Cafe Glendale California yelp",1,274,"mambos-cafe-glendale"
12,"Diners Times Three","The Little Depot Diner","Peabody, Massachusetts",2009-11-09,"The Little Depot Diner Peabody Massachusetts yelp",1,275,"the-little-depot-diner-peabody"
12,"Diners Times Three","Santa Cruz Diner","Santa Cruz, California",2009-11-09,"Santa Cruz Diner Santa Cruz California yelp",2,276,"santa-cruz-diner-santa-cruz"
12,"Diners Times Three","The Diner","Norman, Oklahoma",2009-11-09,"The Diner Norman Oklahoma yelp",1,277,"the-diner-norman"
13,"Legacies","Lake Effect Diner","Buffalo, New York",2009-11-16,"Lake Effect Diner Buffalo New York yelp",2,278,"lake-effect-diner-buffalo-2"
13,"Legacies","Geraci's Restaurant","Cleveland, Ohio",2009-11-16,"Geraci's Restaurant Cleveland Ohio yelp",1,279,"geracis-restaurant-university-heights"
13,"Legacies","Morin's Hometown Bar & Grill","Attleboro, Massachusetts",2009-11-16,"Morin's Hometown Bar & Grill Attleboro Massachusetts yelp",1,280,"morins-hometown-bar-and-grille-attleboro"
1,"Burgers, Steaks & Chops","Mr. Bartley's Gourmet Burgers","Cambridge, Massachusetts",2009-11-23,"Mr. Bartley's Gourmet Burgers Cambridge Massachusetts yelp",1,281,"mr-bartleys-gourmet-burgers-cambridge"
1,"Burgers, Steaks & Chops","T-Bone Tom's Steakhouse","Kemah, Texas",2009-11-23,"T-Bone Tom's Steakhouse Kemah Texas yelp",1,282,"t-bone-toms-kemah-2"
1,"Burgers, Steaks & Chops","Tee Off Bar & Grill","San Francisco, California",2009-11-23,"Tee Off Bar & Grill San Francisco California yelp",1,283,"tee-off-bar-and-grill-san-francisco"
2,"Pizza, Pork & Paprikash","Pizza Junction","North Tonawanda, New York",2010-01-11,"Pizza Junction North Tonawanda New York yelp",1,284,"pizza-junction-north-tonawanda"
2,"Pizza, Pork & Paprikash","Sterle's Slovenian Country House","Cleveland, Ohio",2010-01-11,"Sterle's Slovenian Country House Cleveland Ohio yelp",1,285,"sterles-country-house-cleveland"
2,"Pizza, Pork & Paprikash","Q Restaurant","San Francisco, California",2010-01-11,"Q Restaurant San Francisco California yelp",1,286,"q-restaurant-and-wine-bar-san-francisco"
3,"Stacked, Stuffed & Loaded","Bob's Taco Station","Rosenberg, Texas",2010-01-18,"Bob's Taco Station Rosenberg Texas yelp",1,287,"bobs-taco-station-rosenberg-2"
3,"Stacked, Stuffed & Loaded","Crazy Burger Cafe & Juice Bar","Narragansett, Rhode Island",2010-01-18,"Crazy Burger Cafe & Juice Bar Narragansett Rhode Island yelp",1,288,"crazy-burger-cafe-and-juice-bar-narragansett"
3,"Stacked, Stuffed & Loaded","The Oinkster","Eagle Rock, California",2010-01-18,"The Oinkster Eagle Rock California yelp",2,289,"the-oinkster-los-angeles"
4,"Triple D Goes Tailgatin’","Rudy's Can't Fail Cafe","Emeryville, California",2010-01-25,"Rudy's Can't Fail Cafe Emeryville California yelp",1,290,"rudys-cant-fail-cafe-emeryville-3"
4,"Triple D Goes Tailgatin’","900 Grayson Restaurant","Berkeley, California",2010-01-25,"900 Grayson Restaurant Berkeley California yelp",1,291,"900-grayson-berkeley-2"
4,"Triple D Goes Tailgatin’","Rick & Ann's Restaurant","Berkeley, California",2010-01-25,"Rick & Ann's Restaurant Berkeley California yelp",1,292,"rick-and-anns-berkeley-2"
5,"Home And Away","Taste of Peru","Chicago, Illinois",2010-02-01,"Taste of Peru Chicago Illinois yelp",1,293,"taste-of-peru-chicago-3"
5,"Home And Away","Ingrid's Kitchen","Oklahoma City, Oklahoma",2010-02-01,"Ingrid's Kitchen Oklahoma City Oklahoma yelp",1,294,"ingrids-kitchen-oklahoma-city-2"
5,"Home And Away","Blackthorn Restaurant & Pub","Buffalo, New York",2010-02-01,"Blackthorn Restaurant & Pub Buffalo New York yelp",1,295,"blackthorn-restaurant-and-pub-buffalo"
6,"By Request","South 21 Drive-In","Charlotte, North Carolina",2010-02-08,"South 21 Drive-In Charlotte North Carolina yelp",1,296,"south-21-drive-in-charlotte-2"
6,"By Request","Red Lion Pub & Restaurant","Houston, Texas",2010-02-08,"Red Lion Pub & Restaurant Houston Texas yelp",1,297,"red-lion-british-pub-houston"
6,"By Request","Melt Bar & Grilled","Lakewood, Ohio",2010-02-08,"Melt Bar & Grilled Lakewood Ohio yelp",1,298,"melt-bar-and-grilled-lakewood-2"
7,"And The Kicker Is...","Pawley's Front Porch","Columbia, South Carolina",2010-02-15,"Pawley's Front Porch Columbia South Carolina yelp",1,299,"pawleys-front-porch-columbia"
7,"And The Kicker Is...","Sophia Restaurant","Buffalo, New York",2010-02-15,"Sophia Restaurant Buffalo New York yelp",1,300,"sophias-restaurant-buffalo"
7,"And The Kicker Is...","Bette's Oceanview Diner","Berkeley, California",2010-02-15,"Bette's Oceanview Diner Berkeley California yelp",1,301,"bettes-oceanview-diner-berkeley"
8,"Comfort Food Classics","The Liberty Elm Diner","Providence, Rhode Island",2010-02-22,"The Liberty Elm Diner Providence Rhode Island yelp",1,302,"the-liberty-elm-diner-providence-2"
8,"Comfort Food Classics","Naglee Park Garage","San Jose, California",2010-02-22,"Naglee Park Garage San Jose California yelp",1,303,"naglee-park-garage-san-jose"
8,"Comfort Food Classics","Dish","Charlotte, North Carolina",2010-02-22,"Dish Charlotte North Carolina yelp",1,304,"dish-charlotte"
9,"Twists And Traditions","Earl's Drive-In","Chaffee, New York",2010-03-22,"Earl's Drive-In Chaffee New York yelp",1,305,"earls-drive-in-chaffee"
9,"Twists And Traditions","Aldo's Harbor Restaurant","Santa Cruz, California",2010-03-22,"Aldo's Harbor Restaurant Santa Cruz California yelp",1,306,"aldos-harbor-restaurant-santa-cruz"
9,"Twists And Traditions","Momocho","Cleveland, Ohio",2010-03-22,"Momocho Cleveland Ohio yelp",1,307,"momocho-cleveland-2"
10,"Fresh And Funky","Dish Cafe & Catering","Reno, Nevada",2010-03-29,"Dish Cafe & Catering Reno Nevada yelp",1,308,"dish-cafe-and-catering-reno"
10,"Fresh And Funky","Landmark Restaurant","Charlotte, North Carolina",2010-03-29,"Landmark Restaurant Charlotte North Carolina yelp",1,309,"landmark-diner-restaurant-charlotte"
10,"Fresh And Funky","Pier 23 Cafe","San Francisco, California",2010-03-29,"Pier 23 Cafe San Francisco California yelp",1,310,"pier-23-cafe-san-francisco"
11,"Triple D Goes Hawaiian","Highway Inn & Ho'okipa Catering","Waipahu, Hawaii",2010-04-05,"Highway Inn & Ho'okipa Catering Waipahu Hawaii yelp",1,311,"highway-inn-waipahu"
11,"Triple D Goes Hawaiian","Hank's Haute Dogs","Honolulu, Hawaii",2010-04-05,"Hank's Haute Dogs Honolulu Hawaii yelp",1,312,"hanks-haute-dogs-honolulu"
11,"Triple D Goes Hawaiian","Nico's Pier 38","Honolulu, Hawaii",2010-04-05,"Nico's Pier 38 Honolulu Hawaii yelp",1,313,"nicos-pier-38-honolulu-2"
11,"Triple D Goes Hawaiian","Germaine's Luau","Kapolei, Hawaii",2010-04-05,"Germaine's Luau Kapolei Hawaii yelp",1,314,"germaines-luau-kapolei"
1,"Surf ‘n Turf","North End Cafe","Manhattan Beach, California",2010-04-27,"North End Cafe Manhattan Beach California yelp",1,315,"north-end-caffe-manhattan-beach-3"
1,"Surf ‘n Turf","Gold 'N Silver Inn","Reno, Nevada",2010-04-27,"Gold 'N Silver Inn Reno Nevada yelp",1,316,"gold-n-silver-inn-reno"
1,"Surf ‘n Turf","Singleton's Seafood Shack","Atlantic Beach, Florida",2010-04-27,"Singleton's Seafood Shack Atlantic Beach Florida yelp",1,317,"singletons-seafood-shack-jacksonville-2"
2,"Homegrown & Homemade","The Farmer's Shed","Lexington, South Carolina",2010-05-03,"The Farmer's Shed Lexington South Carolina yelp",1,318,"the-farmers-shed-restaurant-lexington"
2,"Homegrown & Homemade","Poke Stop at Mililana Mauka Llc.","Mililani, Hawaii",2010-05-03,"Poke Stop at Mililana Mauka Llc. Mililani Hawaii yelp",1,319,"poke-stop-mililani"
2,"Homegrown & Homemade","Mulberry Cafe","Lackawanna, New York",2010-05-03,"Mulberry Cafe Lackawanna New York yelp",1,320,"mulberry-italian-ristorante-lackawanna"
3,"Globetrottin’","Louis' Basque Corner","Reno, Nevada",2010-05-10,"Louis' Basque Corner Reno Nevada yelp",1,321,"louis-basque-corner-reno"
3,"Globetrottin’","13 Gypsies","Jacksonville, Florida",2010-05-10,"13 Gypsies Jacksonville Florida yelp",1,322,"13-gypsies-jacksonville-2"
3,"Globetrottin’","Gloria's Cafe","Los Angeles, California",2010-05-10,"Gloria's Cafe Los Angeles California yelp",1,323,"glorias-cafe-los-angeles"
