"ep_number","ep_title","restaurant","location","ep_air_date","google_string","freq_visited","index","yelp_string"
1,"Totally Fried","Silk City Diner","Philadelphia, Pennsylvania",2007-10-01,"Silk City Diner Philadelphia Pennsylvania yelp",1,40,"silk-city-diner-and-lounge-philadelphia"
2,"Route 66","Emma Jean's Holland Burger Cafe","Victorville, California",2007-10-08,"Emma Jean's Holland Burger Cafe Victorville California yelp",1,41,"emma-jeans-holland-burger-cafe-victorville"
2,"Route 66","The Rock Cafe","Stroud, Oklahoma",2007-10-08,"The Rock Cafe Stroud Oklahoma yelp",1,42,"rock-cafe-stroud"
2,"Route 66","Cafe on the Route","Baxter Springs, Kansas",2007-10-08,"Cafe on the Route Baxter Springs Kansas yelp",1,43,"cafe-on-the-route-baxter-springs-2"
3,"Seaside Eats","Evelyn's Drive-In","Tiverton, Rhode Island",2007-10-15,"Evelyn's Drive-In Tiverton Rhode Island yelp",1,44,"evelyns-drive-in-tiverton"
3,"Seaside Eats","Hodad's","Ocean Beach, California",2007-10-15,"Hodad's Ocean Beach California yelp",1,45,"hodads-san-diego"
3,"Seaside Eats","Keegan's Seafood Grille","Indian Rocks Beach, Florida",2007-10-15,"Keegan's Seafood Grille Indian Rocks Beach Florida yelp",1,46,"keegans-seafood-grille-indian-rocks-beach"
4,"Local Flavors","Clanton's Cafe","Vinita, Oklahoma",2007-10-22,"Clanton's Cafe Vinita Oklahoma yelp",1,47,"clantons-cafe-vinita"
4,"Local Flavors","Mike's Chili Parlor","Seattle, Washington",2007-10-22,"Mike's Chili Parlor Seattle Washington yelp",1,48,"mikes-chili-parlor-seattle"
4,"Local Flavors","Duarte's Tavern","Pescadero, California",2007-10-22,"Duarte's Tavern Pescadero California yelp",1,49,"duartes-tavern-pescadero"
5,"Viewer's Choice","Bobby's Hawaiian Style Restaurant","Everett, Washington",2007-10-29,"Bobby's Hawaiian Style Restaurant Everett Washington yelp",1,50,"bobbys-hawaiian-style-restaurant-lynnwood-3"
5,"Viewer's Choice","Ted Peters Famous Smoked Fish","South Pasadena, Florida",2007-10-29,"Ted Peters Famous Smoked Fish South Pasadena Florida yelp",1,51,"ted-peters-famous-smoked-fish-south-pasadena"
5,"Viewer's Choice","Psycho Suzie's Motor Lounge","Minneapolis, Minnesota",2007-10-29,"Psycho Suzie's Motor Lounge Minneapolis Minnesota yelp",1,52,"psycho-suzis-motor-lounge-minneapolis-2"
6,"Real Deal BBQ","Jay Bee's Bar-B-Que","Gardena, California",2007-11-05,"Jay Bee's Bar-B-Que Gardena California yelp",1,53,"jay-bees-bar-b-q-gardena-3"
6,"Real Deal BBQ","Smoque","Chicago, Illinois",2007-11-05,"Smoque Chicago Illinois yelp",1,54,"smoque-bbq-chicago"
6,"Real Deal BBQ","BBQ Shack","Paola, Kansas",2007-11-05,"BBQ Shack Paola Kansas yelp",2,55,"the-bbq-shack-paola"
7,"Talkin' Turkey","Mike's City Diner","Boston, Massachusetts",2007-11-10,"Mike's City Diner Boston Massachusetts yelp",2,56,"mikes-city-diner-boston"
7,"Talkin' Turkey","Willie Bird's Restaurant","Santa Rosa, California",2007-11-10,"Willie Bird's Restaurant Santa Rosa California yelp",1,57,"willie-birds-restaurant-santa-rosa"
7,"Talkin' Turkey","Alpine Steakhouse","Sarasota, Florida",2007-11-10,"Alpine Steakhouse Sarasota Florida yelp",2,58,"alpine-steakhouse-sarasota"
8,"One of a Kind","JT Farnham's Seafood & Grill","Essex, Massachusetts",2007-11-19,"JT Farnham's Seafood & Grill Essex Massachusetts yelp",1,59,"jt-farnhams-essex-2"
8,"One of a Kind","Joe's Gizzard City","Potterville, Michigan",2007-11-19,"Joe's Gizzard City Potterville Michigan yelp",1,60,"joes-gizzard-city-potterville"
8,"One of a Kind","Grubstake Diner","San Francisco, California",2007-11-19,"Grubstake Diner San Francisco California yelp",1,61,"grubstake-san-francisco"
8,"One of a Kind","Los Tapatios","San Jose, California",2007-11-19,"Los Tapatios San Jose California yelp",1,62,"los-tapatios-taco-truck-san-jose"
9,"Family Owned","El Indio","San Diego, California",2007-11-23,"El Indio San Diego California yelp",1,63,"el-indio-mexican-restaurant-san-diego-3"
9,"Family Owned","Charlie's Diner","Spencer, Massachusetts",2007-11-23,"Charlie's Diner Spencer Massachusetts yelp",1,64,"charlies-diner-spencer"
9,"Family Owned","Paradise Pup","Des Plaines, Illinois",2007-11-23,"Paradise Pup Des Plaines Illinois yelp",1,65,"paradise-pup-des-plaines"
10,"Open 24/7","Studio Diner","San Diego, California",2008-01-13,"Studio Diner San Diego California yelp",1,66,"studio-diner-san-diego"
10,"Open 24/7","White Palace Grill","Chicago, Illinois",2008-01-13,"White Palace Grill Chicago Illinois yelp",1,67,"white-palace-grill-chicago"
10,"Open 24/7","The Dining Car","Philadelphia, Pennsylvania",2008-01-13,"The Dining Car Philadelphia Pennsylvania yelp",1,68,"the-dining-car-and-market-philadelphia"
11,"Off the Hook Specials","Schooner or Later","Long Beach, California",2008-01-20,"Schooner or Later Long Beach California yelp",2,69,"schooner-or-later-long-beach"
11,"Off the Hook Specials","Grinders Pizza","Kansas City, Missouri",2008-01-20,"Grinders Pizza Kansas City Missouri yelp",1,70,"grinders-kansas-city"
11,"Off the Hook Specials","The Fly Trap","Ferndale, Michigan",2008-01-20,"The Fly Trap Ferndale Michigan yelp",1,71,"the-fly-trap-ferndale"
11,"Off the Hook Specials","Galewood Cook Shack","Chicago, Illinois",2008-01-20,"Galewood Cook Shack Chicago Illinois yelp",1,72,NA
12,"Burgers, Rings and Fries","Joe's Cable Car","San Francisco, California",2008-01-21,"Joe's Cable Car San Francisco California yelp",1,73,"joes-cable-car-restaurant-san-francisco"
12,"Burgers, Rings and Fries","The Nook","St. Paul, Minnesota",2008-01-21,"The Nook St. Paul Minnesota yelp",1,74,"caspers-and-runyons-nook-saint-paul"
12,"Burgers, Rings and Fries","Krazy Jim's Blimpy Burger","Ann Arbor, Michigan",2008-01-21,"Krazy Jim's Blimpy Burger Ann Arbor Michigan yelp",1,75,"krazy-jims-blimpy-burger-ann-arbor-3"
13,"The New Jersey Diner Tour","Mustache Bill's","Barnegat Light, New Jersey",2008-01-28,"Mustache Bill's Barnegat Light New Jersey yelp",1,76,"mustache-bills-diner-barnegat-light"
13,"The New Jersey Diner Tour","Tick Tock Diner","Clifton, New Jersey",2008-01-28,"Tick Tock Diner Clifton New Jersey yelp",1,77,"tick-tock-diner-clifton"
13,"The New Jersey Diner Tour","White Manna Hamburgers","Hackensack, New Jersey",2008-01-28,"White Manna Hamburgers Hackensack New Jersey yelp",1,78,"white-manna-hackensack"
13,"The New Jersey Diner Tour","The Ritz Diner","Livingston, New Jersey",2008-01-28,"The Ritz Diner Livingston New Jersey yelp",1,79,"ritz-diner-livingston"
13,"The New Jersey Diner Tour","Hightstown Diner","Hightstown, New Jersey",2008-01-28,"Hightstown Diner Hightstown New Jersey yelp",1,80,"hightstown-diner-hightstown"
13,"The New Jersey Diner Tour","Skylark Diner","Edison, New Jersey",2008-01-28,"Skylark Diner Edison New Jersey yelp",1,81,"skylark-diner-edison"
13,"The New Jersey Diner Tour","Jefferson Diner","Lake Hopatcong, New Jersey",2008-01-28,"Jefferson Diner Lake Hopatcong New Jersey yelp",1,82,"jefferson-diner-lake-hopatcong"
1,"Big Breakfast","Brownstone Diner","Jersey City, New Jersey",2008-03-10,"Brownstone Diner Jersey City New Jersey yelp",1,83,"brownstone-diner-and-pancake-factory-jersey-city"
1,"Big Breakfast","39th Street Mama's","Kansas City, Missouri",2008-03-10,"39th Street Mama's Kansas City Missouri yelp",1,84,"mamas-39th-st-diner-kansas-city"
1,"Big Breakfast","Matt's Big Breakfast","Phoenix, Arizona",2008-03-10,"Matt's Big Breakfast Phoenix Arizona yelp",1,85,"matts-big-breakfast-phoenix-2"
2,"Like Mamma Made","Roberto's Mexican Food","Phoenix, Arizona",2008-03-17,"Roberto's Mexican Food Phoenix Arizona yelp",1,86,"robertos-mexican-food-phoenix-2"
2,"Like Mamma Made","Smokey Valley Truck Stop","Olive Hill, Kentucky",2008-03-17,"Smokey Valley Truck Stop Olive Hill Kentucky yelp",1,87,"smokey-valley-truck-stop-olive-hill"
2,"Like Mamma Made","Sweetie Pie's","St. Louis, Missouri",2008-03-17,"Sweetie Pie's St. Louis Missouri yelp",1,88,"sweetie-pies-soul-food-saint-louis-2"
3,"Regional Favorites","Charlie Parker's","Springfield, Illinois",2008-03-24,"Charlie Parker's Springfield Illinois yelp",1,89,"charlie-parkers-springfield"
3,"Regional Favorites","Tecolote Cafe","Santa Fe, New Mexico",2008-03-24,"Tecolote Cafe Santa Fe New Mexico yelp",1,90,"tecolote-cafe-santa-fe-3"
3,"Regional Favorites","Virginia Diner","Wakefield, Virginia",2008-03-24,"Virginia Diner Wakefield Virginia yelp",1,91,"virginia-diner-wakefield-2"
4,"Neighborhood Joints","Thee Pitts Again","Silverton, Colorado",2008-03-31,"Thee Pitts Again Silverton Colorado yelp",1,92,"thee-pitts-again-silverton"
4,"Neighborhood Joints","Iron Barley","St. Louis, Missouri",2008-03-31,"Iron Barley St. Louis Missouri yelp",1,93,"iron-barley-eating-establishment-saint-louis"
4,"Neighborhood Joints","Daddypops","Hatboro, Pennsylvania",2008-03-31,"Daddypops Hatboro Pennsylvania yelp",1,94,"daddypops-hatboro"
4,"Neighborhood Joints","The Village Cafe","Richmond, Virginia",2008-03-31,"The Village Cafe Richmond Virginia yelp",1,95,"the-village-cafe-richmond"
